,security_type,symbol,name,primary_exchange,currency,sector
sec-s-3c3aa1d4cacb4b4e87ba74db9cbb6047,exchange_traded_fund,BOTZ,Global X Funds Global X Robotics & Artificial Intelligence ETF,NASDAQ,USD,ETFs
sec-s-340673f381fd499bb19f54a7b7271b39,exchange_traded_fund,QQC,Simplify Exchange Traded Funds - Simplify Nasdaq 100 Plus Convexity ETF,NASDAQ,USD,
sec-s-348d3001dacd4995b6bd354fc3d41dab,exchange_traded_fund,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,NASDAQ,USD,ETFs
sec-s-77d0c61e43fb4710bbcc9cb99d7f0a84,exchange_traded_fund,ESPO,VanEck Vectors Video Gaming and eSports ETF,NASDAQ,USD,
sec-s-f1af011cfc55476da54f45b019387fca,exchange_traded_fund,HERO,Global X Video Games & Esports ETF,NASDAQ,USD,
sec-s-ab5cbb8ee40948eda0d801392a8f6016,exchange_traded_fund,BJK,VanEck ETF Trust - VanEck Gaming ETF,NASDAQ,USD,ETFs
sec-s-2a30f6b612844a54830ec208de2ea627,exchange_traded_fund,DAX,Global X DAX Germany ETF,NASDAQ,USD,
sec-s-b5f797101bac43deb13c766608d8f11f,exchange_traded_fund,QQQJ,Invesco NASDAQ Next Gen 100 ETF,NASDAQ,USD,
sec-s-07f801d9293048f29933f63774749f79,exchange_traded_fund,GIGE,SoFi Gig Economy ETF,NASDAQ,USD,
sec-s-197462ca5b6a4b719574bb9f87ad4ade,exchange_traded_fund,BUG,Global X Funds - Cybrscurty ETF,NASDAQ,USD,
sec-s-28bb82bede634c649f0db29ab6ab4911,exchange_traded_fund,SOCL,Global X Social Media ETF,NASDAQ,USD,ETFs
sec-s-2a30f6b612844a54830ec208de2ea627,exchange_traded_fund,DAX,Global X DAX Germany ETF,NASDAQ,USD,
sec-s-3c3aa1d4cacb4b4e87ba74db9cbb6047,exchange_traded_fund,BOTZ,Global X Funds Global X Robotics & Artificial Intelligence ETF,NASDAQ,USD,ETFs
sec-s-5ffc450754be45f99596d5288bd35fb9,exchange_traded_fund,DRIV,Global X Autonomous & Electric Vehicles ETF,NASDAQ,USD,
sec-s-dc0eaa4baf0547b2b14e46669c1b4e37,exchange_traded_fund,WOOD,BTC iShares Global Timber & Forestry ETF,NASDAQ,USD,ETFs
sec-s-f71c3d6005254c9facd19d8123ff04ac,exchange_traded_fund,RING,BTC iShares MSCI Global Gold Miners ETF,NASDAQ,USD,ETFs
sec-s-4f767b86f10d44d0a71b68bea18d30f2,exchange_traded_fund,GNMA,iShares Trust - Gnma Bond ETF,NASDAQ,USD,ETFs
sec-s-f1af011cfc55476da54f45b019387fca,exchange_traded_fund,HERO,Global X Video Games & Esports ETF,NASDAQ,USD,
sec-s-28b34e5db78f4b9f92cb52510dc2b620,exchange_traded_fund,PSCH,Invesco Exchange Traded Fund Trust II - S&p Small-Cap Health,NASDAQ,USD,
sec-s-15be56c32fc04f91bc1c4623eebccfbb,exchange_traded_fund,PEY,Invesco High Yield Equity Dividend Achievers ETF,NASDAQ,USD,ETFs
sec-s-a38c4dc1b2a24b2abee017fb66c2817e,exchange_traded_fund,VYMI,Vanguard International High Dividend Yield ETF,NASDAQ,USD,ETFs
sec-s-f161581e620341db9fde43b82a85c94a,exchange_traded_fund,KBWD,Invesco Capital Management LLC - Invesco KBW High Dividend Yield Financial ETF,NASDAQ,USD,
sec-s-8000e7cdb16840628c5f56347914bc5e,exchange_traded_fund,HLAL,Wahed FTSE USA Shariah ETF,NASDAQ,USD,
sec-s-c98dc61296274ec79a3e7af836d54e4e,exchange_traded_fund,HNDL,Strategy Shares - Ns 7Handl Index,NASDAQ,USD,
sec-s-6d427e34aa234f3f91a604ab8886c8d8,exchange_traded_fund,IBB,BTC iShares Nasdaq Biotechnology ETF,NASDAQ,USD,ETFs
sec-s-0b5a3a922816403c9accb5a260d861b5,exchange_traded_fund,ICLN,BTC iShares Global Clean Energy ETF,NASDAQ,USD,ETFs
sec-s-3b95e7ad53cf4b94b366aec29b04b492,exchange_traded_fund,IEI,BTC iShares 3-7 Year Treasury Bond ETF,NASDAQ,USD,ETFs
sec-s-8ac91f98cc4d4e7b9fba3a9fab719705,exchange_traded_fund,IEF,BTC iShares 7-10 Year Treasury Bond ETF,NASDAQ,USD,"Fractional Trading, ETFs"
sec-s-26984c4e46164a489f212a645377588f,exchange_traded_fund,IFGL,BTC iShares International Developed Real Estate ETF,NASDAQ,USD,ETFs
sec-s-24a8d289dcdf4896ab22593ee2f125d2,exchange_traded_fund,IGSB,iShares Short-Term Corporate Bond ETF,NASDAQ,USD,
sec-s-f6f65dbb92894db289531e0205f30e3f,exchange_traded_fund,IGIB,iShares Intermediate-Term Corporate Bond ETF,NASDAQ,USD,ETFs
sec-s-106f89ad085e4124a7a876d4c105bc95,exchange_traded_fund,IGOV,iShares Trust - International Treasury Bond ETF,NASDAQ,USD,ETFs
sec-s-02604a7d98fd41deb0c2b6bd4c88846e,exchange_traded_fund,IGF,BTC iShares Global Infrastructure ETF,NASDAQ,USD,ETFs
sec-s-af765cf4dff141269ddc89e683e4664c,exchange_traded_fund,KBWY,Invesco Exchange Traded Fund Trust II - KBW Premium Yield,NASDAQ,USD,
sec-s-28b34e5db78f4b9f92cb52510dc2b620,exchange_traded_fund,PSCH,Invesco Exchange Traded Fund Trust II - S&p Small-Cap Health,NASDAQ,USD,
sec-s-30dabc5025904beeb763c86bfdebf9a4,exchange_traded_fund,FTXL,First Trust Exchange-Traded Fund III - First Trust Nasdaq Semiconductor ETF,NASDAQ,USD,
sec-s-89435b4a3de2463cbc5736e36ff1084a,exchange_traded_fund,QCLN,First Trust Exchange-Traded Fund III - First Trust Nasdaq Clean Edge Green Energy Index Fund,NASDAQ,USD,ETFs
sec-s-af588f5db4de458dba18ceec17db8848,exchange_traded_fund,QTEC,First Trust Exchange-Traded Fund III - First Trust NASDAQ-100 Technology Sector Index Fund,NASDAQ,USD,ETFs
sec-s-b70e3feb8ea242f2acbc64782ab6670b,exchange_traded_fund,IJT,BTC iShares S&P Small-Cap 600 Growth ETF,NASDAQ,USD,"Fractional Trading, ETFs"
sec-s-9f1b162e0f464b0ca52953820c220aee,exchange_traded_fund,IMCV,BTC iShares Morningstar Mid-Cap Value ETF,NASDAQ,USD,ETFs
sec-s-73c59c64bc0b4259ab9e4b4cfca09999,exchange_traded_fund,SDG,iShares MSCI Global Impact ETF,NASDAQ,USD,ETFs
sec-s-cef9e7c73dd4478d94d179b1e0c00a74,exchange_traded_fund,INDY,BTC iShares India 50 ETF,NASDAQ,USD,ETFs
sec-s-13987757a1cd4b48bdafb5942ba669a8,exchange_traded_fund,NFTY,First Trust India Nifty 50 Equal Weight ETF,NASDAQ,USD,
sec-s-11d7e6922dd1493abe2657d5608d4607,exchange_traded_fund,IPKW,Invesco International BuyBack Achievers TM ETF,NASDAQ,USD,
sec-s-1c6d3ec90b8e4ed99ab635eb5ed5120c,exchange_traded_fund,ESGE,iShares Inc iShares ESG MSCI EM ETF,NASDAQ,USD,ETFs
sec-s-24a8d289dcdf4896ab22593ee2f125d2,exchange_traded_fund,IGSB,iShares Short-Term Corporate Bond ETF,NASDAQ,USD,
sec-s-48070833356a4c52802f7486f08d8b4a,exchange_traded_fund,IUSV,BTC iShares Core S&P U.S.Value ETF,NASDAQ,USD,ETFs
sec-s-5722fa58822141b097fc725291e18d3c,exchange_traded_fund,UAE,iShares MSCI UAE ETF,NASDAQ,USD,ETFs
sec-s-59533342009946f9969d6306f7697881,exchange_traded_fund,TUR,iShares Inc. - MSCI Turkey ETF,NASDAQ,USD,ETFs
sec-s-5b3182b755314191be9758ef713e38ab,exchange_traded_fund,SHY,BTC iShares 1-3 Year Treasury Bond ETF,NASDAQ,USD,"Fractional Trading, ETFs"
sec-s-3b95e7ad53cf4b94b366aec29b04b492,exchange_traded_fund,IEI,BTC iShares 3-7 Year Treasury Bond ETF,NASDAQ,USD,ETFs
sec-s-dc0eaa4baf0547b2b14e46669c1b4e37,exchange_traded_fund,WOOD,BTC iShares Global Timber & Forestry ETF,NASDAQ,USD,ETFs
sec-s-f6f65dbb92894db289531e0205f30e3f,exchange_traded_fund,IGIB,iShares Intermediate-Term Corporate Bond ETF,NASDAQ,USD,ETFs
sec-s-48070833356a4c52802f7486f08d8b4a,exchange_traded_fund,IUSV,BTC iShares Core S&P U.S.Value ETF,NASDAQ,USD,ETFs
sec-s-1adc6d35aa1d4e2c874554a20f5cc663,exchange_traded_fund,IUSG,BTC iShares Core S&P U.S.Growth ETF,NASDAQ,USD,ETFs
