,security_type,symbol,name,primary_exchange,currency,sector
sec-s-db3f9ff488904f0d8cffb28b564e4cae,exchange_traded_fund,HEWB,Horizons Equal Weight Canada Banks Index ETF,TSX,CAD,
sec-s-f8b59ccda90a4ffd864705ef7c84ca28,exchange_traded_fund,ZBAL,BMO Balanced ETF - CAD,TSX,CAD,ETFs
sec-s-b4b724aeac5046278ae293fedcc3c495,exchange_traded_fund,BBIG,Horizons Global BBIG Technology ETF Class A,TSX,CAD,
sec-s-8168caa9cd69470da93bcf2e6d6a11a9,exchange_traded_fund,ZBBB,BMO BBB Corporate Bond Index ETF,TSX,CAD,
sec-s-8821913f0a3a4b35b9a53454a656a1b6,exchange_traded_fund,BDOP,Black Diamond Distressed Opportunities Fund ETF,TSX,CAD,
sec-s-d452d4907c17459baea3d27cb43eb210,exchange_traded_fund,BDIV,Brompton Global Dividend Growth ETF,TSX,CAD,ETFs
sec-s-39593af025994395b55a96e1c84b7272,exchange_traded_fund,BDEQ,Black Diamond Global Equity Fund ETF,TSX,CAD,
sec-s-28926264c4c047b48349df7f8a453f52,exchange_traded_fund,BEPR,Brompton Flaherty & Crumrine Enhanced Investment Grade Preferred ETF,TSX,CAD,
sec-s-145946e63a234010995b3c97eb77ea6d,exchange_traded_fund,BESG,Invesco ESG Canadian Core Plus Bond ETF,TSX,CAD,ETFs
sec-s-124e09c2b11a4619bb1bd3373b399323,exchange_traded_fund,HXU,BetaPro S&P/TSX 60 2x Daily Bull ETF,TSX,CAD,
sec-s-1a1919300afd4e0c845d33ebeac25265,exchange_traded_fund,HXD,BetaPro S&P/TSX 60 -2x Daily Bear ETF,TSX,CAD,
sec-s-2b8037d841ef447b816289bcdd93ab53,exchange_traded_fund,HZD,BetaPro Silver -2x Daily Bear ETF,TSX,CAD,
sec-s-47c81849db2e4187ae16cd08fcd8f917,exchange_traded_fund,BHAV,Purpose Behavioural Opportunities Fund,AEQUITAS NEO EXCHANGE,CAD,
sec-s-4d3fcbdb81da4c5bb5323e57ea51b8b7,exchange_traded_fund,HOD,BetaPro Crude Oil Inverse Leveraged Daily Bear ETF,TSX,CAD,
sec-s-4e123292b396445b84fdf34142b8fbc0,exchange_traded_fund,HZU,BetaPro Silver 2x Daily Bull ETF,TSX,CAD,
