,security_type,symbol,name,primary_exchange,currency,sector
sec-s-5da218c43eb24301a217aeb59bfe9d14,equity,ADK,Diagnos Inc.,TSX-V,CAD,
sec-s-641fa33231604819ae6a9a2ba6aa04b0,equity,ADW.B,Andrew Peller Limited (Class B),TSX,CAD,"Food, Alcohol and Tobacco, Consumer Products"
sec-s-58d7b589030a4d8f9a6a7893df83f88c,equity,ADG,Arcus Development Group Inc,TSX-V,CAD,
sec-s-32450e983ba442deb1d4b22fe314f867,equity,AD.UN,Alaris Equity Partners Income Trust,TSX,CAD,
sec-s-0caa5587b1174bc3b4fd6a86b9238baf,equity,AUHI,Advance United Holdings Inc,CSE,CAD,
sec-s-c1e62a2a57aa48cc92e746d1aa0b10f4,equity,IB,IBC Advanced Alloys Corp,TSX-V,CAD,
sec-s-44edeed41e6c4b3d8de820a55d81787f,equity,ERA,Elcora Advanced Materials Corp,TSX-V,CAD,
sec-s-be9476e2f4a14d379ab6c517cb1f9301,equity,AWI,Advent-AWI Holdings Inc,TSX-V,CAD,
sec-s-e4b3abd4b18945419e82671e95a1fe93,equity,AMD,Advanced Micro Devices CDR (CAD Hedged),AEQUITAS NEO EXCHANGE,CAD,
sec-s-7f9ae07cca2f419ab6a0565459e0dfbb,equity,APC,Advanced Proteome Therapeutics Corporation,TSX-V,CAD,
sec-s-2ed7cccfefb642bd84c294789f0f10d2,equity,AVL,Avalon Advanced Materials Inc,TSX,CAD,
sec-s-330fecd67c4549afb6e49aef9fbae921,equity,XBC,Xebec Adsorption Inc,TSX,CAD,
sec-s-d686bd51b0a7438f828d6e389387eefd,equity,DRX,ADF Group Inc,TSX,CAD,
sec-s-eff1d46a5cb84ae2b2365f748270f60f,equity,RABI,AdRabbit Ltd,TSX-V,CAD,
sec-s-f67e470622b74156ae7aa8c9d3abf380,equity,XTRX,Adastra Holdings Limited,CSE,CAD,
sec-s-f46c49a9af5c43e9ac27a4a149dc0476,equity,AE,American Eagle Gold Corp.,TSX-V,CAD,
sec-s-c025d4860a02450a80f6e01278c0a211,equity,AEZS,Aeterna Zentaris,TSX,CAD,"Manufacturing, Healthcare, Biotech"
sec-s-0137484c787c457a8dfd69ad7609f6de,equity,AEX,AEX Gold Inc,TSX-V,CAD,
sec-s-a2e465c2c44e4d74a50bf6ca2b1170cd,equity,AEG,Aegis Brands Inc.,TSX,CAD,
sec-s-2f965f652fc2447b8eb8da26a41aada0,equity,AEP,Atlas Engineered Products Ltd,TSX-V,CAD,"Manufacturing, Machinery, Materials"
sec-s-30e03d6f317b4c46aa292029d1fca0e9,equity,AEC,Anfield Energy Inc.,TSX-V,CAD,"Mining, Materials"
sec-s-ac1300ea8cbb47e3857c57b891f59a9d,equity,AEM,Agnico Eagle Mines Ltd,TSX,CAD,"Fractional Trading, Mining, Materials"
sec-s-ec6cdc1ea7a5404e83ac37b95b92cda5,equity,AEL.H,Amseco Exploration Ltd,TSX-V,CAD,
sec-s-688400b0c1b44a6181de6d85b0298d84,equity,ATHR,Aether Catalyst Solutions Inc,CSE,CAD,
sec-s-d11430b377ab48a2ad02798790394939,equity,MAL,Magellan Aerospace Corp.,TSX,CAD,
