,security_type,symbol,name,primary_exchange,currency,sector
sec-s-1925e40eb1d0457ea3ca5c411943a516,equity,ATVI,Activision Blizzard Inc,NASDAQ,USD,"Fractional Trading, Entertainment and Media, Software, Technology"
sec-s-09652be37918420e99f7538b9ba705e8,equity,CFVI,CF Acquisition Corp VI (Class A),NASDAQ,USD,
sec-s-12b59f41e7f3407fb29b162f1cf7140a,equity,MUDS,Mudrick Capital Acquisition Corporation II,NASDAQ,USD,
sec-s-751271ee3f224c899d9dcfd4b870c5d4,equity,CACC,Credit Acceptance Corp.,NASDAQ,USD,"Fractional Trading, Finance"
sec-s-f4d80aa509024e01af41238d20b85d5b,equity,IAS,Integral Ad Science Holding Corp,NASDAQ,USD,
sec-s-1306fd29f6cd41a3b9897f55f49facee,equity,ADTX,Aditxt Inc.,NASDAQ,USD,
sec-s-2aa6eb5aae194eba9440c9ed4387890b,equity,ADES,Advanced Emissions Solutions Inc,NASDAQ,USD,"Manufacturing, Machinery, Consulting, Engineering"
sec-s-cf8e614339b343a5968bdd64c849e145,equity,ADGI,Adagio Therapeutics Inc,NASDAQ,USD,
sec-s-d06d5fd0f36e4d90a4f4b2adf9a9d6b7,equity,ADAP,Adaptimmune Therapeutics Plc,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-d7b91e266a884033983f281a69e364ec,equity,ADBE,Adobe Inc,NASDAQ,USD,"Fractional Trading, Software, Consumer Products, Internet, Technology"
sec-s-7c8265a4d7bf4e93995290a818e9831c,equity,ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,USD,"Healthcare, Pharmaceuticals, Biotech"
sec-s-cf6730bb2cf8462eb1169ab87fae14a0,equity,ADPT,Adaptive Biotechnologies Corp,NASDAQ,USD,
sec-s-a48459e5c78248fca0e0b1b25b9ff88d,equity,ADTN,Adtran Inc.,NASDAQ,USD,"Telecommunications, Manufacturing, Technology"
sec-s-3c5aa7eda69b48e8a5bd897e13a3714d,equity,ADSK,Autodesk Inc.,NASDAQ,USD,"Fractional Trading, Software, Engineering, Internet, Technology"
sec-s-dbe6f5ab1dcb43e595559463b340f4c4,equity,ADI,Analog Devices Inc.,NASDAQ,USD,"Manufacturing, Semiconductors, Engineering, Technology"
sec-s-36888428ba7142d29698a9b68b2f65d8,equity,ADP,Automatic Data Processing Inc.,NASDAQ,USD,"Fractional Trading, Consulting, Software, Technology"
sec-s-3454089dd25b420d84a049a9d215227f,equity,AEY,Addvantage Technologies Group,NASDAQ,USD,"Manufacturing, Electronics, Retail, Consumer Products"
sec-s-80a687f3b6ea450e91646fed3fbc188d,equity,AEIS,Advanced Energy Industries Inc.,NASDAQ,USD,"Manufacturing, Machinery, Electronics, Engineering, Technology"
sec-s-708ddc95d726414983958cae0be00e6a,equity,HNNA,Hennessy Advisors Inc,NASDAQ,USD,
sec-s-d18a5149afba459084e984622d2310cd,equity,FA,First Advantage Corp.,NASDAQ,USD,
