,security_type,symbol,name,primary_exchange,currency,sector
sec-s-4d4c23c20c4a47b4af0f2c872a92c3a6,equity,ACY,Aerocentury Corp.,NYSE,USD,
sec-s-4f38f363a34145e8bd820582a31ed104,equity,CVU,CPI Aerostructures,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-5fedcb0bf1a842ba9945c964dec88d6a,equity,PAC,Grupo Aeroportuario Del Pacifico SAB de CV,NYSE,USD,"Logistics, Transportation"
sec-s-cac831ba0e0040dc994058d4490a3794,equity,ACM,AECOM,NYSE,USD,"Manufacturing, Consulting, Construction, Engineering"
sec-s-d81fc050e2ca47d19e34dae4d0b943fc,equity,GOL,Gol Linhas Aereas Inteligentes S.A.,NYSE,USD,"Travel, Transportation"
sec-s-cddd0b6be7994699a3154434877be637,equity,AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,USD,"Manufacturing, Aerospace and Defence, Electronics, Real Estate, Finance, Engineering"
sec-s-e935639cb2e74436aa8e04e6841677db,equity,SPR,Spirit Aerosystems Holdings Inc.,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-35992de6925d465792056c8f86d20bd7,equity,PKE,Park Aerospace Corporation,NYSE,USD,
sec-s-c06c6400ec8546f7aceca873064e608d,equity,UAVS,AgEagle Aerial Systems Inc.,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-c9249c75e6324688a0bece25667e5688,equity,AFL,Aflac Inc.,NYSE,USD,"Fractional Trading, Healthcare, Finance, Insurance"
sec-s-871d5c2f10974468a1d15678ff83e0c0,equity,AFG,American Financial Group Inc,NYSE,USD,"Real Estate, Finance, Banking"
sec-s-64d7aedd931a45b4b80af2ea27c7c876,equity,AFI,Armstrong Flooring Inc,NYSE,USD,"Manufacturing, Construction, Materials"
sec-s-f81d7d10c49f4f3fac778e929a726663,equity,AMG,Affiliated Managers Group Inc.,NYSE,USD,Finance
sec-s-dfc43de4f6f04111b5504d49f75bb66d,equity,ALC,Alcon AG,NYSE,USD,"Consulting, Healthcare"
sec-s-c7d3d6fd2f17402eadf2d91824419811,equity,NVS,Novartis AG,NYSE,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-161c5a95c5634a6495f6e315ae7c438e,equity,CS,Credit Suisse Group AG,NYSE,USD,"Finance, Banking"
sec-s-23bed0996c9e4be48dfd761a019ba78b,equity,JMIA,Jumia Technologies Ag,NYSE,USD,"Software, Internet, Technology"
sec-s-694027b382ab44eaa5789cb878f0f49e,equity,DB,Deutsche Bank AG,NYSE,USD,"Finance, Banking"
sec-s-4c0135c23eea401a805e66e7a5963a39,equity,UBS,UBS Group AG,NYSE,USD,
sec-s-53375ae7e2624269a774fb66d84f6b16,equity,MITT,AG Mortgage Investment Trust Inc,NYSE,USD,
sec-s-ff73f3a83ad84ec589ca14a823a4bec6,equity,FMS,Fresenius Medical Care AG & Co. KGaA,NYSE,USD,Healthcare
sec-s-3486ec1323564ecb9b6e51285b305c67,equity,AGL,Agilon Health Inc,NYSE,USD,
sec-s-74c5b24b4db24513a8083d72c895896b,equity,AGTI,Agiliti Inc,NYSE,USD,
sec-s-cc0aff74748e42488c421e3413551370,equity,AGM,Federal Agricultural Mortgage Corp. (Class C),NYSE,USD,"Real Estate, Finance"
sec-s-b42c4d1fade1465780a1b5bbe93fc0bb,equity,AGE,AgeX Therapeutics Inc,NYSE,USD,
sec-s-a2f1311dc98541b8a109b71bdd436c19,equity,AGCO,AGCO Corp.,NYSE,USD,"Manufacturing, Machinery, Agriculture"
sec-s-1443efb181804a65b332b4759977ed9b,equity,AGO,Assured Guaranty Ltd.,NYSE,USD,"Finance, Banking"
sec-s-2fcc8e06d89a468a84f3ae7413d04aa4,equity,AGX,"Argan, Inc.",NYSE,USD,"Manufacturing, Clean Energy, Consulting, Construction, Engineering"
sec-s-46c84902c6ef4ac297e694fcf7c65171,equity,AGRO,Adecoagro S.A.,NYSE,USD,
sec-s-39ca5938747c4c94bf2d42bc8d9a2ecc,equity,AGR,Avangrid Inc,NYSE,USD,"Energy, Clean Energy, Oil and Gas, Utilities"
sec-s-19f8256728344e67a80946274de6b5d5,equity,CGA,China Green Agricu,NYSE,USD,"Manufacturing, Agriculture, Materials"
sec-s-847e734d21c94ad1bfd4dd3eb5c6537a,equity,ADC,Agree Realty Corp.,NYSE,USD,"Real Estate, Finance"
sec-s-599a8221ed654698a170ee37745c737d,equity,A,Agilent Technologies Inc.,NYSE,USD,"Healthcare, Biotech, Technology"
sec-s-c06c6400ec8546f7aceca873064e608d,equity,UAVS,AgEagle Aerial Systems Inc.,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-44d1b8bfe3fd42049204cc8ddd377a85,equity,AHT,Ashford Hospitality Trust Inc,NYSE,USD,
sec-s-d8a939c90d964262bc0a15f4b796e21a,equity,AI,C3.ai Inc (Class A),NYSE,USD,Fractional Trading
sec-s-acf9f8a50dcd415f9c8d45b91f7dac88,equity,AIM,AIM ImmunoTech Inc,NYSE,USD,"Healthcare, Pharmaceuticals, Biotech"
sec-s-ff26c97540ab469bb38785c3ed5c7bb3,equity,AIRI,Air Industries Group,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-176710648dac48ef8b62d629e57416c6,equity,AINC,Ashford Inc,NYSE,USD,
sec-s-1a6b6b197dab4fcbb1946cce519b8f8b,equity,AIV,Apartment Investment and Management Company,NYSE,USD,
sec-s-3c9e0b95b2934057acfe89f20c5bac0e,equity,AIG,American International Group Inc.,NYSE,USD,"Fractional Trading, Finance, Insurance"
sec-s-c5ceb003252940f1b5d66cd07b709f0b,equity,AIT,Applied Industrial Technologies Inc.,NYSE,USD,"Manufacturing, Electronics, Retail, Consumer Products"
